team,win_probability_pct,win_count
Spain,13.56,1356
France,9.46,946
Argentina,8.72,872
England,7.05,705
Mexico,6.07,607
Morocco,5.18,518
Japan,5.0,500
Portugal,4.65,465
Netherlands,3.93,393
Germany,3.55,355
United States,3.31,331
Senegal,3.26,326
Brazil,3.09,309
Australia,2.95,295
Croatia,2.33,233
Iran,2.01,201
Panama,1.56,156
Belgium,1.47,147
Uzbekistan,1.31,131
Colombia,1.15,115
Canada,1.13,113
Egypt,1.12,112
Switzerland,1.05,105
Uruguay,1.0,100
Qatar,0.94,94
Ecuador,0.83,83
Algeria,0.79,79
Ivory Coast,0.69,69
Norway,0.55,55
Scotland,0.36,36
Jordan,0.31,31
Saudi Arabia,0.3,30
Tunisia,0.29,29
South Africa,0.26,26
Austria,0.25,25
Paraguay,0.21,21
New Zealand,0.11,11
Haiti,0.07,7
Cabo Verde,0.04,4
Curacao,0.04,4
Korea Republic,0.02,2
TBD-A,0.02,2
TBD-K,0.01,1
